,Course_Name,Course_Description,Lectures_Num,Course_Level,Course_hours,Rate,Number_Rates
101,ultim excel programm cours,learn excel vba scratch dan strong bestsel excel expert k student worldwid daniel strong,212,All Levels,125,4.5,11424
102,aw certifi develop associ practic test,exam quiz question dvac practic aw certifi develop exam ace aw certifi develop exam stephan maarek aw certifi solut architect develop,5,293 questions,293,4.5,2128
103,spark python big data pyspark,learn use spark python includ spark stream machin learn spark datafram jose portilla,66,Intermediate,105,4.4,9105
104,kubernet masteri handson lesson docker captain,learn latest kubernet featur plugin practic devop workflow contain expert bret fisher,90,Beginner,7,4.7,404
105,complet python programm bootcamp,learn python enjoy python master python becom python programm career,146,All Levels,11,4.6,791
106,devop project cicd jenkin ansibl docker kubernet,handson lab creat devop cicd pipelin use git jenkin ansibl docker kubernet aw shankar ar,43,All Levels,55,4.5,1291
107,nlp natur languag process python,learn use machin learn spaci nltk scikitlearn deep learn conduct natur languag process jose portilla,80,Intermediate,115,4.5,2946
108,learn jira realworld exampl confluenc bonu,learn work manag administ agil project comprehens cours jira softwar confluenc kosh sarkar,82,All Levels,115,4.4,7869
109,aw certifi solut architect profession practic exam,aw certifi solut architect profession practic test question explan refer flashcard jon bonso aw certifi solut architect certifi develop,5,336 questions,336,4.3,1025
110,advanc web develop bootcamp,learn react redux es test css flexbox anim svg ajax colt steel,391,Intermediate,34,4.5,7218
111,c advanc topic prepar technic interview,master confus c construct event deleg lambda express linq asyncawait mosh hamedani,21,Intermediate,3,4.5,10994
112,ansibl absolut beginn handson devop,cours introduc ansibl absolut beginn devop practic ansibl code exercis browser mumshad mannambeth,34,Beginner,25,4.5,9180
113,learn devop infrastructur autom terraform,learn autom infrastructur terraform cover terraform aw packer docker ec ek jenkin edward viaen,86,Beginner,7,4.4,5585
114,ionic build io android web app ionic angular,build nativ io android well progress web app angular capacitor ionic framework maximilian schwarzmüller,508,All Levels,35,4.6,10272
115,complet guid tensorflow deep learn python,learn use googl deep learn framework tensorflow python solv problem cut edg techniqu jose portilla,96,Intermediate,14,4.4,13435
116,web design beginn real world code html css,launch career web design learn html css respons design sass cross devic compat brad schiff,59,All Levels,9,4.6,7941
117,java program complet beginn,learn java program code exampl absolut java beginn start learn java program inminut offici,300,Beginner,26,4.4,4990
118,mern stack front back full stack react redux nodej,build deploy social network nodej express react redux mongodb fulli updat april brad traversi,73,Intermediate,12,4.7,7800
119,rest api testingautom scratchrest assur java,updatedtop rank api test autom postman cours basic framework ton real time api exampl rahul shetti,142,All Levels,245,4.5,6830
120,complet python cours learn python,go beginn expert python build project best invest python journey codestar rob perciv,343,All Levels,355,4.5,5197
121,apach spark scala hand big data,dive right handson exampl analyz larg data set apach spark desktop hadoop sundog educ frank kane,56,All Levels,75,4.5,9657
122,complet react develop cours w hook redux,learn build launch react web applic use react redux webpack reactrout andrew mead,200,Beginner,39,4.7,14272
123,data scienc machin learn bootcamp r,learn use r program languag data scienc machin learn data visual jose portilla,127,All Levels,18,4.6,9328
124,python deep dive part function,variabl function function program closur decor modul packag fred baptist,158,Intermediate,445,4.7,2789
125,learn c program beginn advanc deep dive c,classroom handson session featur c except handl stl academ industri abdul bari,279,All Levels,305,4.6,2967
126,r program advanc analyt r data scienc,take r r studio skill next level data analyt data scienc statist analysi busi ggplot kiril eremenko,51,Intermediate,6,4.6,4819
127,bootstrap scratch project,master bootstrap build real world theme learn html semant css brad traversi,74,All Levels,115,4.6,9626
128,android app develop masterclass use kotlin,learn kotlin android app develop becom android develop incl kotlin tutori android tutori video tim buchalka,317,Beginner,545,4.4,2372
129,progress web app pwa complet guid,build progress web app pwa feel like io android app use devic camera push notif academind maximilian schwarzmüller,206,All Levels,16,4.7,6773
130,react front back,learn modern react includ hook context api full stack mern redux build real life project brad traversi,91,All Levels,14,4.7,2953
131,data analysi panda python,analyz data quickli easili python power panda librari dataset includ beginn welcom bori paskhav,176,All Levels,19,4.6,7596
132,appium mobil autom test scratch framework,appium top class lectur mobil autom basic framework level real time exampl rahul shetti,181,All Levels,30,4.4,6903
133,complet rubi rail develop cours,learn make innov web app rubi rail unleash creativ rob perciv,381,All Levels,445,4.5,9446
134,aw serverless api app complet introduct,get serverless comput api gateway aw lambda amazon web servic zero server config api spa academind maximilian schwarzmüller,142,All Levels,8,4.6,6810
135,git complet definit stepbystep guid git,go zero hero git sourc control stepbystep easi understand exampl becom next git expert jason taylor,84,All Levels,6,4.4,9495
136,node react fullstack web develop,build deploy fullstack web app nodej react redux express mongodb stephen grider,207,All Levels,26,4.6,10320
137,python comput vision opencv deep learn,learn latest techniqu comput vision python opencv deep learn jose portilla,92,Intermediate,14,4.5,2583
138,python data structur algorithm interview,get kick start career ace code interview jose portilla,228,Intermediate,17,4.4,6413
139,web develop w googl go golang program languag,learn web program univers professor comput scienc year teach experi todd mcleod,171,Intermediate,19,4.7,4011
140,modern react bootcamp hook context nextj router,publish follow curriculum teach student sf project includ one huge applic colt steel,312,Beginner,39,4.7,2647
141,aw certifi develop associ practic exam,aw certifi develop cover aw certifi develop topic pass aw certifi develop associ exam jon bonso aw certifi solut architect certifi develop,5,294 questions,294,4.7,596
142,modern javascript bootcamp,learn javascript build realworld app includ realworld project program challeng ese andrew mead,155,All Levels,295,4.7,7550
143,python time seri data analysi,learn use python panda numpi statsmodel time seri forecast analysi jose portilla,93,Intermediate,15,4.6,1770
144,modern javascript novic ninja,creat awesom javascript driven web app modern javascript begin right ninjalevel net ninja shaun pell,173,All Levels,19,4.8,2555
145,devop masterclass docker kubernet jenkin devop,devop special absolut beginn jenkin docker kubernet code pipelin hand exercis levelup devop,266,All Levels,44,4.2,2207
146,python deep dive part oop,python object orient program oop fred baptist,162,Intermediate,35,4.7,284
147,oracl java certif pass java se z exam,obtain exact knowledg skill get java certifi exam topic fulli cover cours tim buchalka,128,Intermediate,125,4.6,146
148,nodej api masterclass express mongodb,creat real world backend bootcamp directori app brad traversi,76,Intermediate,12,4.8,1054
149,design pattern c net,discov modern implement design pattern c net dmitri nesteruk,149,Intermediate,16,4.4,4767
150,complet guid build app net core react,complet guid build app start finish use aspnet core react typescript mobx neil cum,318,All Levels,355,4.6,886
151,aw lambda serverless architectur bootcamp build app,amazon web servic serverless lambda api gateway dynamodb step function sam serverless framework cicd rizmax academi riyaz sayyad,301,All Levels,255,4.5,1298
152,python deep dive part iter gener,sequenc iter iter gener context manag generatorbas coroutin fred baptist,137,Intermediate,345,4.9,477
153,statist busi analyt data scienc az,learn core stat data scienc career master statist signific confid interv much kiril eremenko,48,All Levels,7,4.4,5326
154,artifici intellig reinforc learn python,complet guid artifici intellig prep deep reinforc learn stock trade applic lazi programm inc,99,Intermediate,10,4.5,5988
155,interact python dashboard plotli dash,learn creat interact plot intellig dashboard plotli python dash librari jose portilla,69,Intermediate,95,4.6,2996
156,complet java certif cours,becom confid industri readi core java develop get certifi java profession imtiaz ahmad,57,All Levels,175,4.5,5168
157,java indepth becom complet java engin,comprehens java program cours integr design principl best practic instructorl java ee project dheeru mundluru,349,All Levels,635,4.3,7448
158,python absolut beginn,python learn python program scratch handson exercis beginn friendli python tutori green chameleon learn,67,Beginner,3,4.4,13966
159,data structur algorithm deep dive use java,learn array link list tree hashtabl stack queue heap sort algorithm search algorithm tim buchalka,116,Intermediate,16,4.4,4755
160,android java masterclass becom app develop,improv career option learn android app develop master android studio build first app today tim buchalka,320,All Levels,605,4.4,7231
161,selenium python autom test scratch framework,best seller singl cours learn python program selenium python autom basic advanc level rahul shetti,128,All Levels,185,4.5,1103
162,complet uipath rpa develop cours build robot,master robot process autom rpa uipath go beginn advanc leon petrou,127,All Levels,10,4.5,1909
163,graphql react complet develop guid,learn master graphql build real web app react node stephen grider,115,Intermediate,135,4.6,6117
164,complet angular cours beginn advanc,comprehens angular angular cours build real ecommerc app angular firebas bootstrap mosh hamedani,376,All Levels,295,4.5,18726
