_id,Course_Name,Course_Rate,Course_Description,Lectures_Num,Course_Level,Course_hours
5e4117ae70dfe123d09ba89f,Create a 3D Endless Runner from Scratch in Unity,"4.7
(87 ratings)",Learn how to make an infinite scrolling platform game in Unity with C# working through all stages of game development. | By Penny de Byl,42 lectures,Beginner,9.5 hours
5e4117ae70dfe123d09ba8a0,SAP SD (Sales & Distribution) - Configuration and End User,"4.1
(138 ratings)",The course covers both configuration and end-user processes for SAP SD Module | By Rana W Mehmood,21 lectures,All Levels,31 hours
5e4117ae70dfe123d09ba8a1,Machine Learning Optimization Using Genetic Algorithm,"4.1
(148 ratings)",Learn how to optimize Machine Learning algorithms' performances and apply feature selection using Genetic Algorithm | By Curiosity for Data Science,35 lectures,Intermediate,3.5 hours
5e4117ae70dfe123d09ba8a2,Asynchronous JavaScript,"4.3
(648 ratings)","Become an expert in Asynchronous JavaScript, Callbacks, Promises, Async/Await, Generators & The Event Loop | By Asim Hussain",51 lectures,All Levels,4.5 hours
5e4117ae70dfe123d09ba8a3,Algorithmic Problems in Java (+INTERVIEW QUESTIONS),"4.4
(644 ratings)","Backtracking, dynamic programming, Sudoku, knapsack problem, binpacking, closest pair of points, recursion, monte carlo | By Holczer Balazs",74 lectures,All Levels,7.5 hours
5e4117ae70dfe123d09ba8a4,Team workflows in JIRA,"4.4
(806 ratings)",A practical guide to building a workflow for teams to use in JIRA | By Dan LeFebvre,17 lectures,Intermediate,1.5 hours
5e4117ae70dfe123d09ba8a5,TensorFlow 2.0 Masterclass: Hands-On Deep Learning and AI,"4.4
(22 ratings)","Work on 6 Projects, Learn Deep Learning, AI, Keras, Python, ANN, CNN, RNN, LSTM, Transfer Learning, Autoencoder, NLP ! | By Vijay Gadhave",99 lectures,All Levels,14 hours
5e4117ae70dfe123d09ba8a6,Complete React Native bootcamp - Build 18 iOS & Android app,"4.2
(266 ratings)","Includes Redux, firebase and lots of projects | By Igneus Technologies",137 lectures,All Levels,21.5 hours
5e4117ba70dfe123d09ba8a7,Learn Enterprise WPF with XAML from Scratch,"4.1
(1,095 ratings)",Windows Presentation Foundation tutorial: create powerful Windows apps with rich UI on WPF platform + Intro to MVVM | By Engineer Spock,128 lectures,All Levels,5 hours
5e4117ba70dfe123d09ba8a8,Agile Transformation and Scaled Agile,"4.2
(269 ratings)",Leading agile transformation and implement agile in large scale for big enterprises | By ICAN Consultancy,24 lectures,Intermediate,4.5 hours
